country,1975,1985,2005,2010,2015,2019,2020,2021
Afghanistan,872.05,1588.15,960.05,4221.15,4754.65,5272.65,5625.65,5006.65
Albania,2112.9,3736.25,2031.15,2036.7,1905.15,1987.2,1726.1,1952.2
Algeria,8181,26198.2,45515.4,47547.85,63070.1,72028.2,66796.55,72989.15
American Samoa,,,253.35,255.05,210,207.8,200.25,200.35
Andorra,,,301.75,270.75,243.85,255.8,197,215.2
Angola,1168.2,1084.6,3008.65,7467.8,8931.3,8260.75,5894.7,7261.2
Anguilla,,,60.6,71,74.8,78.3,73.95,76.05
Antigua and Barbuda,364.7,128.95,248.05,282.25,297.8,328.55,317.4,326.45
Argentina,44667.2,46077.5,75931.95,88241.65,92277.15,84905.4,78942.75,91567.5
Armenia,,,2069.2,2029.2,2680.95,3042.6,3264.65,3540.25
Aruba,,,2169.2,2064.35,459.35,425.45,420.9,441.1
Austria,26553.5,26422,36896,32997.95,29519.4,30179.4,27455.6,28892.25
Azerbaijan,,,16311.9,13385.95,16840.2,17650.2,16833.15,17615.7
Bahamas,3951.8,754.2,982.8,1144.05,1140.4,1286.15,1045.05,1276.6
Bahrain,2702.65,4886.2,10742.9,12679.45,14562.2,16914.8,16867.4,16161.05
Bangladesh,2264.55,4308.55,16527.6,25589.65,37424.75,46246.8,46756.3,52626.3
Barbados,286.65,373.45,650.4,748.2,643.3,668.9,586.6,541.4
Belarus,,,28237.35,29356.5,26700.25,28089.4,26598.75,27512.85
Belgium,59867.1,51450.25,52013.45,51792.75,44786,43769.8,39634.95,41495.05
Belize,90.15,97.6,214.25,273.35,328.9,360.4,294.25,308.25
Benin,228.55,302.55,1150.65,2261.25,2603.75,2470.2,2599.2,2717.2
Bermuda,240.85,235.5,300.7,312.85,280.9,306.75,225.45,267.1
Bhutan,1.5,31.55,234.85,410.1,550.75,577.75,473.6,597.25
Bolivia (Plurin. State of),1576.35,1781.8,5805.6,6894.65,9320.85,10294.85,8507.7,10064.35
Bonaire St. Eustatius & Saba,,,,,50.05,58.2,59.7,58.6
Bosnia and Herzegovina,,,7934.45,10690.8,9338.65,10533.65,10568.7,10780.3
Botswana,86.6,533.95,2113.1,2287.1,2802.7,3479.4,2869.65,3104.2
Brazil,71565.65,83979.6,159381.35,190301.95,231738.15,208154.5,196624.9,223394.05
British Virgin Islands,13.7,27.4,89.15,112.45,119.95,96.55,94.95,96.5
Brunei Darussalam,896.7,1199.95,2637.65,3410.6,2925.95,4652.6,5049.4,5375.55
Bulgaria,36427.7,44733,23397,21961.4,22171.55,19951.85,17451.5,20224.95
Burkina Faso,113,242.05,559.05,889.05,1631.6,2313.1,2298.6,2592.6
Burundi,39,115,81,170,181.5,351.05,375.55,390.55
Cabo Verde,39.65,43.65,229.95,287.05,252.95,323.05,265.95,280.5
Cambodia,23,213.55,1131.6,2402.15,3871.25,7017.95,7051.45,6865.9
Cameroon,532.05,3269.8,1596.6,3171.65,3624.15,3342.15,3415.15,3258.6
Canada,195489.45,198936.7,265495.25,248522.8,261553.8,289044.7,264014.45,270852.6
Cayman Islands,30.2,102.35,249.2,292.8,291.7,358.35,325.75,330.3
Central African Republic,53.55,83.55,111.55,86.5,91,116,122.5,124
Chad,94.5,91,393.55,582.55,919.05,921.05,972.55,1077.55
Chile,9295.4,10017.35,28153.75,35401.1,41825.35,46517.95,40536.6,42327.65
China,585511.15,951289.4,2689602.05,3976783.45,4494617.75,4858368.9,4925029.45,5212364.65
China Hong Kong SAR,5482.75,11430.6,22497.75,20502.35,21629.9,21425.35,17034.75,17152.8
China Macao SAR,152.6,376.75,858.75,624.6,819.35,554.85,460.7,457.65
Colombia,16755.7,22678.25,28231.15,36278.8,46358.5,44491.4,42211.85,44009.85
Comoros,17.05,23.55,73.6,83.65,91.65,160.2,190.25,255.8
Congo,187.6,545.75,482.65,975.7,1602.3,1961.35,2073.85,2154.35
Cook Islands,8.4,11.6,31.95,38.6,42.25,43.4,36.55,39.7
Costa Rica,953.95,1029.9,3001.7,3559.75,3452.7,3672.7,3256.15,3699.7
Croatia,,,10079.8,9212.1,7823.85,7682.85,7239.25,7542.35
Cuba,13214.4,15344,12505.6,16276.45,14339.75,11079.5,10565.45,11226.5
Cura莽ao,,,,,3619.7,1163,939.95,1033.9
Cyprus,848.3,1396,3365.75,3593.2,2930.95,3134.05,2874.3,2913.35
Czechia,,,60766.4,57423,50626.3,47475.5,42929.1,45483.35
C么te d鈥橧voire,2016.3,3516.85,3750.2,3029.65,4737.7,5267.2,5525.2,6876.75
Dem. People's Rep. Korea,49105.05,73490.45,37983.6,32906.85,14991.6,34787.35,32730.25,26688.55
Dem. Rep. of the Congo,1461.05,1720.05,633,905.5,1378,1621,1715,1643.5
Denmark,27864.5,30408.45,23529.35,23104.15,15535.75,13580.85,12233.6,12763.2
Djibouti,100.95,182.95,209.75,261.8,230.25,226.2,189.15,198.7
Dominica,14.2,25.35,78.1,88.25,92.3,89.75,82.1,82.65
Dominican Republic,3064.6,3433.55,8452.9,9322.45,10579,12905.7,12134.6,13828.25
Ecuador,3264.45,8777.95,13592.5,15977.55,18785.15,18307.05,14690.85,17102.45
Egypt,13576.85,30848.1,72013.4,85442.5,95805,113020.55,101737.95,113826.55
El Salvador,981.75,888.7,2955.5,2942.5,3186,3559.05,3125.5,3613.05
Equatorial Guinea,31.65,35.1,1854.15,2207,3063.25,2576.15,2884.8,3416.1
Eritrea,,,291.1,231.05,246.05,294.1,298.6,314.6
Estonia,,,9122.75,10737.05,8049.6,7029.8,5566.2,5997
Eswatini,155.3,202.8,498.95,490.95,435.4,564,563,505.9
Ethiopia,,,2233.05,2942.55,4991.55,6910.05,6184.05,6383.05
Ethiopia [former],568.5,851,,,,,,
Falkland Islands (Malvinas),2.35,12.25,30.2,28.3,27.1,26.65,26.55,25.35
Faroe Islands,185.45,273.4,381.25,329.7,320.45,388.4,398.95,412.65
Fiji,298.5,269.9,527.6,528.6,635.7,693.75,511.55,557.6
Finland,23209.45,24856.55,28395.4,31711.4,21006.35,19362.5,17630.2,17334.15
France,214995.1,194193,188013.6,172053.75,154398.85,147694.7,128018.4,142480.65
French Guiana,60.55,190.65,270.35,328.45,,,,
French Polynesia,107.8,303.75,425.05,474.65,435.5,457,426.9,448.45
Gabon,1301.2,1142.95,848.1,1311.25,1770.35,1206.05,1352.6,1425.6
Gambia,50.6,88.1,164.1,220.6,298.65,365.15,359.15,372.65
Georgia,,,2281.6,2946.25,4518.7,4901.8,4782.25,5020.85
Germany,,,398140.9,376130.15,360695.9,323213.4,290401.5,300087.1
Ghana,1211.1,1589.6,3066.65,4487.7,7306.25,8179.75,9383.3,9882.8
Gibraltar,45.75,21.8,211.5,247.15,305.1,372.55,331.35,335.45
Greece,17684.45,27253.75,46114.15,39777.1,30785.85,26741.55,22400.15,23179.7
Greenland,267.3,268.95,321.05,350.1,262.6,296.7,284.5,289.55
Grenada,23.75,31.8,111.5,132.65,135.15,172.9,149.2,160.3
Guadeloupe,204.1,410.65,1055.1,1127.8,,,,
Guatemala,1679.75,1645.7,5586.95,5102.85,7408.95,9229.55,8055.45,9383.05
Guinea,429.6,506.1,932.6,1268.1,1253.1,2004.65,2300.65,2112.65
Guinea-Bissau,56.6,85.6,107.6,123.1,143.6,166.1,154.6,155.6
Guyana,934.25,722.95,830.1,965.8,1004.35,1319.15,1372.2,1632.55
Haiti,207.05,405.55,823.6,1038.6,1325.65,1541.15,1596.15,1720.15
Honduras,767.75,882.7,3233.45,3776.45,4902.05,5317.55,4518.45,4815.95
Hungary,36996,42603.05,27620.25,23870.4,20965.15,22383.8,21459.2,22087.75
Iceland,794.15,816.35,1108.7,980.55,1018.05,841.85,738.5,830.25
India,123807.7,206860.25,589422.5,816957.15,1104217.85,1241883.4,1105428.3,1220782.85
Indonesia,23039.65,55172.35,154430.2,197995.8,230137.9,333307.25,311601.65,312073.65
Iran,45792.9,72837.05,212301.05,247871.3,278239.4,311511.1,319076.65,326203.2
Iraq,7584.65,15119,49516.75,46120.5,54161.95,73874.8,59467.4,57660.3
Ireland,10636.35,13526.85,21237.65,19983.9,18071.35,16945.45,16132.25,16849.9
Isle of Man,,,7.1,108.8,107.75,139.15,135.1,92.6
Israel,9355.8,11637.85,28095.7,33865.1,31339.4,29405.9,29524.35,29329.8
Italy,161144.4,175735.1,226371.4,193297.25,161302.7,150233,134225.25,150793.55
Jamaica,4047,2495.1,5145.4,3711.85,3820.85,4618.15,3290.65,3503.25
Japan,424640.35,444731.7,617624.85,586636.6,581659.55,531584.75,491159.4,502560.05
Jordan,1113.55,3792.85,9646.2,9748.9,12189.3,11988.1,10092.9,9850.9
Kazakhstan,,,89469.2,126331.1,119507.2,115058.65,104877.55,112019.85
Kenya,2253.65,1663.1,3793.1,5226.65,7012.65,8491.65,9214.7,8906.15
Kiribati,17.85,11.2,25.25,30.3,30.75,36.8,36.3,36.3
Kosovo,,,3263.8,4271.9,4218.9,4256,4307.6,4490.7
Kuwait,3780.1,12687.3,34227.8,40233.15,41222.05,48891,42715.8,42754.55
Kyrgyzstan,,,2630,3085.55,4919.85,4178.15,3838.1,4711.2
Lao People's Dem. Rep.,127.55,103.55,628.6,1280.2,4159.1,8877.25,8875.2,8958.2
Latvia,,,3768.7,3983.9,3318.65,3369.25,3040.6,3145.7
Lebanon,2825.5,3831.35,7091.55,8902.8,11941.85,12408.65,11743.55,9462.7
Lesotho,,,946,1072.55,1061.5,1134.5,1029.95,1609.2
Liberia,726.45,344.15,303.6,347.6,300.55,406.1,315.05,294.55
Libya,2437.5,13279.95,21109.6,23371.6,26744.3,32697.5,14186.65,21771.75
Liechtenstein,,,37.05,31.35,26.2,25.65,25.15,27.7
Lithuania,,,6287.35,6397.05,5174.75,5445.9,5415.4,5579
Luxembourg,6684.55,5015.15,5764.35,5327,4378.7,4545.8,3693.35,3906.1
Madagascar,834.1,524.55,863.55,925.55,1585.05,2121.6,1953.55,2196.1
Malawi,261.05,260.55,420.05,482.05,504.55,812.55,766.05,797.55
Malaysia,8015.65,16122.5,79203.05,92839.25,107006.95,121491.7,113669.4,120508.6
Maldives,3,33.7,312,482.35,663.5,1031.55,868.7,1018.45
Mali,161.5,202.05,751.55,1077.55,1623.1,2684.15,2965.65,3164.65
Malta,339.1,618.75,1379.85,1309.6,826.8,833.65,809.05,813.05
Marshall Islands,,,59.6,71.3,75,77.7,76.75,76.8
Martinique,454.9,562.15,1085.2,1040.65,,,,
Mauritania,260.7,335.7,736.75,1052.8,1503.4,2380.05,2464.05,2319
Mauritius,301.35,356.35,1694.35,2014.55,2166.65,2324.8,1954.5,2041.05
Mayotte,,,102.55,142.15,,,,
Mexico,73223.2,133864.25,224599.15,221674.45,226988.4,222549.3,201400.6,210853.65
Micronesia (Fed. States of),,,58.5,52.5,73.15,74.15,73.65,72.65
Mongolia,2033.35,4564.85,4390.2,7082.1,12014.05,24386.55,19046.8,21519.45
Montenegro,,,981.55,1258.5,1164.85,1288.05,1250,1253
Montserrat,7.05,13.6,24.85,35.45,31.75,15.25,14.7,15.35
Morocco,5021.8,7953.35,20539.15,25007.25,27274.3,32818.4,30911.85,33526.4
Mozambique,1325.1,524.05,809.55,1179.05,3138.6,3110.1,2718.1,3442.6
Myanmar,2094.55,3247.1,5609.6,6461.15,10819.2,16091.8,16474.3,13837.75
Namibia,,,1286.65,1421.2,1852.8,1906.3,1728.2,1742.7
Nauru,60.5,71.85,35.1,24.15,30.5,29.25,29.7,31.3
Nepal,172.5,329.5,1478.05,2213.1,2786.6,4620.65,6426.7,6315.7
Netherlands,76422.6,69424.8,82340.05,84908.1,75851.45,71778.15,63555.65,66371.8
Netherlands Antilles [former],,,2741.95,2265.1,,,,
New Caledonia,1269.3,706.55,1422.85,1637.25,2193.7,2506.25,2275.4,2001.45
New Zealand,9013.9,10883.85,16769.55,15214.5,16143.5,16090.25,15510.05,15898.1
Nicaragua,927.85,982.25,2059.4,2148.35,2613.4,2538.4,2264.35,2507.85
Niger,167.05,481.05,353.55,597.55,1054.05,1230.55,1188.05,1308.55
Nigeria,5535.6,20857.25,29683.7,40765.25,45578.25,54061.75,51915.75,54361.75
Niue,2.5,2.8,3.9,3.85,4.7,4.7,4.65,5.2
North Macedonia,,,4447.65,4231,3504.65,3966.9,3608.2,3356.1
Northern Mariana Islands,,,244.5,278.55,291.05,286.15,203.55,221.4
Norway,13872.45,18209.4,21430.65,23340.75,14650.3,16800.65,16758.6,17169.7
Oman,369.4,3726.4,13124.7,22490.3,29596.55,24165.25,28245.7,30319.2
Pakistan,9987.15,19571.2,61623.85,69475.85,66608.8,93872.9,104270.45,112313
Palau,,,119.75,112.25,110.35,118.25,113.5,113.5
Panama,,1245.05,3340.5,4321.2,5060.3,6307,3408.3,5089.15
Papua New Guinea,783.3,1089.3,2212.35,2377.3,3153.85,4015.9,3922.4,4048.4
Paraguay,390.15,779.2,1824.85,2447.4,2923.95,4014.6,3649.05,4020.6
Peru,10067.65,9240,14007.5,19935.7,22191.2,26765.8,21254.65,23027.7
Philippines,15386.4,13655.25,33965.9,39001.4,52405.5,68216.1,63253.55,67114.1
Poland,188153.05,225829.05,150552.4,156639.05,140041.15,144433.25,137152.05,150919.45
Portugal,9835.05,12387.75,30662.4,23689.25,23485.25,21287.05,18537.3,17339.7
Puerto Rico,,,659.65,758.2,1543.95,1872.05,1379.4,1970.6
Qatar,2390.6,5544.55,17134.15,28303,35123.05,41108.15,39440.8,39814.3
Republic of Korea,39177.65,86341.65,223668.15,277058.7,290728.7,294777.7,282925.95,301225.8
Republic of Moldova,,,2338.6,2297.6,2226.7,2492.3,2386.25,2696.9
Romania,78448.7,97355.8,46333.2,38463.4,34472.25,34792.8,31673.65,34560.3
Russian Federation,,,768662.35,773591.4,785930.45,823796.15,803930.5,905589.25
Rwanda,87.5,309.55,243.55,281.55,461.05,625.55,617.55,734.55
R茅union,244.5,503.4,1601.9,1967.2,,,,
Saint Helena,0,1.8,6.45,6.5,6.45,8.3,6.5,7.1
Saint Kitts and Nevis,,27.65,102.65,115.9,122,130.7,122,121
Saint Lucia,39.35,66,202.2,249.95,247.4,258.45,250.9,260.95
Saint Pierre and Miquelon,19.9,20.35,37.25,38.45,39.05,39.2,37.4,33.35
Saint Vincent & Grenadines,17.2,33.3,114,115.05,121.15,113.55,121.65,121.15
Samoa,29.2,38.75,87.95,95,115.55,138.15,123.55,123.05
Sao Tome and Principe,9.6,28.75,40.25,55.8,69.85,74.85,71.85,73.85
Saudi Arabia,12875.25,80789.6,173195.1,237149.55,263577.05,260283.75,237550.1,274592.65
Senegal,1216.75,1256.2,2283.2,2700.2,4104.3,5146.3,4119.75,4802.3
Serbia,,,25143.7,22977.5,22176.45,22381,22733.6,21928.5
Seychelles,30.5,78.15,197.25,227.45,258.1,304.9,308.4,314.95
Sierra Leone,263.6,334.1,218.55,278.55,553.1,511.55,524.05,641.6
Singapore,11769.2,15699.3,20014.1,21459.65,31105,39467.25,40594.85,40791.85
Sint Maarten (Dutch part),,,,,390.5,360.7,342.7,358.45
Slovakia,,,18573.95,17375.2,14355.65,14290.6,13144.4,14890.25
Slovenia,,,7707.85,7611.7,6283,6451.55,5868.25,5946.8
Solomon Islands,30.15,77.8,146.8,171.8,153.75,153.75,151.2,149.7
Somalia,259.05,435.05,290.05,314.55,324,327.5,307,318
South Africa,94115.15,166635.05,211405.3,235575.05,227077.55,236505.55,221671.25,217095.65
South Sudan,,,,,985.6,916.1,871.1,899.1
Spain,86327.9,96823,167287.85,131102.3,122521.15,116645.5,96957.05,106050.75
Sri Lanka,1348.6,1837.1,5768.3,6309.3,9636.45,10187.45,10028.95,11018
State of Palestine,,,1403.9,1036.75,1529.35,1664.35,1694.35,1851.85
Sudan,,,,,5997.15,9935.75,9730.2,10278.75
Sudan [former],2091.6,2031.6,5483.65,7580.15,,,,
Suriname,1017.8,804.65,785.5,1191.2,1358.85,1316.2,1465.9,1326.15
Sweden,40414.95,31058.7,23834.15,24396.6,15436.05,16424.1,14358.9,15492.5
Switzerland,19025,19227.95,20274.25,18903.9,17175.05,16302.9,15232.25,15181.25
Syrian Arab Republic,5221.7,13473.75,22137.7,27841.75,13149.2,12166.6,11568.55,11335.05
Tajikistan,,,1185.15,1218.15,2346.8,3399.85,3754.9,3728.9
Thailand,11335.25,22723.45,100643.55,114576.2,126279.3,124051.25,124137.75,118722.65
Timor-Leste,,,90.1,121.6,221.7,312.25,302.75,296.2
Togo,157.55,205.55,478.6,1045.65,536.55,713.1,800.6,892.1
Tonga,17.2,23.75,58.05,58.55,58.05,81.25,95.9,96.9
Trinidad and Tobago,2721.7,6505.55,9157.2,11619.25,11481.35,9111,7770.1,7451.9
Tunisia,2667.95,5270.2,9444.9,11844.1,13015.65,13139.1,12497.05,13451.1
Turkmenistan,,,22935.2,28825.95,30268.25,30348.95,30712.4,30729.35
Turks and Caicos Islands,0,0,100.5,149.35,165.9,190.85,187.15,191.15
Tuvalu,,,5.5,5.45,4.9,5.45,4.95,5.45
Turkiye,30810.8,50194.5,109089.1,137514.4,163799.55,186508.25,182155.65,199294.85
Uganda,551.55,310.5,951.05,1666.05,2135.05,2706.55,2559.05,2829.05
Ukraine,,,159549.9,151017.8,96773.65,96069.15,87758.5,86702
United Arab Emirates,2072.4,18009.85,51709.6,84369.95,99367.65,94623.25,99170.2,97463.4
United Kingdom,301698.85,279855.45,269868.45,246315.9,201723.1,168447,149603.75,160977.4
United Rep. of Tanzania,1088.55,1117.05,2467.55,3221.05,5936.6,7008.6,6936.6,7941.65
United States of America,2224163.65,2273886.95,2891671.75,2682491.6,2508250.75,2398945.7,2147925.4,2298425.8
Uruguay,2855,1583.05,2763.35,3020.4,3220.45,3081.9,3106.9,3787.6
Uzbekistan,,,57783.15,50036.25,50101.6,52400.1,52050.05,57386.2
Vanuatu,28.3,63,38.7,64.25,68.75,84.8,105.35,112.35
Venezuela (Boliv. Rep. of),27931.2,45948.15,67817.55,88432.1,70724.3,43829,32429.65,31358.6
Viet Nam,10328.7,9725.65,40271,59113.2,90752,145090.5,155532.1,129280.35
Wallis and Futuna Islands,,,14.95,14.5,13.5,14.65,15.2,15.75
Yemen,,,9688.95,11309.45,5996.2,4884.65,4294.15,4207.65
Zambia,1982.4,1329.7,1056.1,1379.6,2242.15,3507.7,3657.2,3486.2
Zimbabwe,3781.6,4655.05,5414.45,4365.85,5898.9,5065.35,4114.25,4854.3
